size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count
15,2,generator,Kruskal,2,1,,1625400,89908,4096,31,31,510,451,0,0,0,0
15,3,generator,Kruskal,3,1,,1606100,89908,0,31,31,510,451,0,0,0,0
15,4,generator,Kruskal,4,1,,1695300,89908,0,31,31,510,451,0,0,0,0
15,5,generator,Kruskal,5,1,,1607500,89908,0,31,31,510,451,0,0,0,0
15,1,solver,Backtracking,1,1,,2489000,97844,0,31,31,510,451,251,168,419,0
15,2,solver,Backtracking,2,1,,2501500,97844,12288,31,31,510,451,251,168,419,0
15,3,solver,Backtracking,3,1,,4597500,97844,0,31,31,510,451,251,168,419,0
15,4,solver,Backtracking,4,1,,2648900,97844,0,31,31,510,451,251,168,419,0
15,5,solver,Backtracking,5,1,,2439600,97844,0,31,31,510,451,251,168,419,0
15,1,solver,AStar,1,1,,2225500,120132,0,31,31,510,451,251,124,375,0
15,2,solver,AStar,2,1,,2177000,120132,0,31,31,510,451,251,124,375,0
15,3,solver,AStar,3,1,,2088300,120132,0,31,31,510,451,251,124,375,0
15,4,solver,AStar,4,1,,2115800,120132,0,31,31,510,451,251,124,375,0
15,5,solver,AStar,5,1,,2197200,120132,0,31,31,510,451,251,124,375,0
16,1,generator,Backtracking,1,1,,3635500,29852,0,33,33,576,513,0,0,0,0
16,2,generator,Backtracking,2,1,,3710100,30132,0,33,33,576,513,0,0,0,0
16,3,generator,Backtracking,3,1,,3584900,28452,0,33,33,576,513,0,0,0,0
16,4,generator,Backtracking,4,1,,3642700,30020,0,33,33,576,513,0,0,0,0
16,5,generator,Backtracking,5,1,,4683800,28788,0,33,33,576,513,0,0,0,0
16,1,generator,Kruskal,1,1,,1934200,103788,12288,33,33,576,513,0,0,0,0
16,2,generator,Kruskal,2,1,,2431600,103788,8192,33,33,576,513,0,0,0,0
16,3,generator,Kruskal,3,1,,2186400,103788,0,33,33,576,513,0,0,0,0
16,4,generator,Kruskal,4,1,,1877700,103788,0,33,33,576,513,0,0,0,0
16,5,generator,Kruskal,5,1,,1882500,103788,0,33,33,576,513,0,0,0,0
16,1,solver,Backtracking,1,1,,2849200,108836,8192,33,33,576,513,279,212,491,0
16,2,solver,Backtracking,2,1,,3063000,108836,-950272,33,33,576,513,279,212,491,0
16,3,solver,Backtracking,3,1,,2870000,108836,4096,33,33,576,513,279,212,491,0
16,4,solver,Backtracking,4,1,,2952400,108836,0,33,33,576,513,279,212,491,0
16,5,solver,Backtracking,5,1,,3115800,108836,0,33,33,576,513,279,212,491,0
16,1,solver,AStar,1,1,,2430500,122732,16384,33,33,576,513,279,124,403,0
16,2,solver,AStar,2,1,,2477100,122732,4096,33,33,576,513,279,124,403,0
16,3,solver,AStar,3,1,,2585400,122732,0,33,33,576,513,279,124,403,0
16,4,solver,AStar,4,1,,2549100,122732,0,33,33,576,513,279,124,403,0
16,5,solver,AStar,5,1,,2378000,122732,0,33,33,576,513,279,124,403,0
